ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '884f8911-5e6d-4ed5-8ad0-20334477abab', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '884f8911-5e6d-4ed5-8ad0-20334477abab', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '884f8911-5e6d-4ed5-8ad0-20334477abab', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '884f8911-5e6d-4ed5-8ad0-20334477abab', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '884f8911-5e6d-4ed5-8ad0-20334477abab', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '884f8911-5e6d-4ed5-8ad0-20334477abab', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'a696645e-47b6-4e7d-9305-9ce4841f97af', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento PDF recebido: documento.pdf]\n\n📄 Conteúdo do documento:\nESTACIONAMENTO - TROCA DE ÓLEO - '}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'e8a28972-e9e0-44c6-8c7c-db7856d44ff6', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'd908206c-4050-4465-91a7-1385ab5cc2bf', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: '86c7cf17-7f82-417a-ab1e-f68003632b83', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'eb9f34b3-a8d0-430a-88b8-e744ad5c5bb5', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
ChatMessage.tsx:309 🔍 [ChatMessage PDF Debug] {messageId: 'ff9277ab-ffc2-48d3-8d3e-477a5c8019aa', hasPdfBase64: false, pdfBase64Length: 0, pdfName: undefined, contentPreview: '[Documento recebido]'}
